Timestamp,FIT101,LIT101,MV101,P101,P102,AIT201,AIT202,AIT203,FIT201,MV201,P201,P202,P203,P204,P205,P206,DPIT301,FIT301,LIT301,MV301,MV302,MV303,MV304,P301,P302,AIT401,AIT402,FIT401,LIT401,P401,P402,P403,P404,UV401,AIT501,AIT502,AIT503,AIT504,FIT501,FIT502,FIT503,FIT504,P501,P502,PIT501,PIT502,PIT503,FIT601,P601,P602,P603,Normal/Attack
2022-11-10 11:00:00,0.0,807.2722,0,0,0,145.892075,6.829530999999999,409.10022,0.0,0,1,1,0,0,0,1,0.03201229,0.0005124427,1009.51678,0,0,0,0,0,0,0.0,388.490143,0.465586782,838.8618,1,1,1,1,1,7.30088472,495.488342,284.1579,156.575241,0.46013844,0.393108755,0.00179240154,0.0174871087,1,1,300.2916,3.21981215,296.25415,0.0,0,1,1,Normal
2022-11-10 11:00:01,0.0,807.2722,0,0,0,145.892075,6.829530999999999,409.10022,0.0,0,1,1,0,0,0,1,0.03201229,0.0005124427,1009.51678,0,0,0,0,0,0,0.0,388.490143,0.464818478,838.285034,1,1,1,1,1,7.298961999999999,495.488342,284.1579,155.4986,0.46013844,0.393108755,0.00179240154,0.0174871087,1,1,300.788269,3.21981215,296.25415,0.0,0,1,1,Normal
2022-11-10 11:00:02,0.0,807.2722,0,0,0,145.892075,6.829530999999999,408.9464,0.0,0,1,1,0,0,0,1,0.03201229,0.0005124427,1009.51678,0,0,0,0,0,0,0.0,388.490143,0.464818478,838.361938,1,1,1,1,1,7.298961999999999,495.488342,284.1579,155.267883,0.46013844,0.393108755,0.00179240154,0.0174871087,1,1,301.012573,3.21981215,296.5105,0.0,0,1,1,Normal
2022-11-10 11:00:03,0.0,807.2722,0,0,0,145.892075,6.829530999999999,408.9464,0.0,0,1,1,0,0,0,1,0.03201229,0.0005124427,1009.51678,0,0,0,0,0,0,0.0,388.720856,0.464818478,838.5542,1,1,1,1,1,7.295116999999999,495.488342,284.1579,155.267883,0.46013844,0.384014368,0.00179240154,0.0174871087,1,1,301.012573,3.21981215,296.4304,0.0,0,1,1,Normal
2022-11-10 11:00:04,0.0,807.2722,0,0,0,145.892075,6.83113337,408.9464,0.0,0,1,1,0,0,0,1,0.03201229,0.0005124427,1009.51678,0,0,0,0,0,0,0.0,388.720856,0.464818478,838.0543,1,1,1,1,1,7.295116999999999,495.488342,284.1579,155.267883,0.459497571,0.3738952279999999,0.00179240154,0.0158857237999999,1,1,300.0032,3.21981215,294.988464,0.0,0,1,1,Normal
2022-11-10 11:00:05,0.0,807.547,0,0,0,145.892075,6.83113337,408.9464,0.0,0,1,1,0,0,0,1,0.03201229,0.0005124427,1009.51678,0,0,0,0,0,0,0.0,388.720856,0.4630258,838.0543,1,1,1,1,1,7.295116999999999,495.488342,284.1579,155.267883,0.459497571,0.3738952279999999,0.00179240154,0.0158857237999999,1,1,299.907074,3.21981215,294.8603,0.0,0,1,1,Normal
2022-11-10 11:00:06,0.0,807.7432,0,0,0,145.892075,6.83113337,408.9464,0.0,0,1,1,0,0,0,1,0.03201229,0.0005124427,1009.51678,0,0,0,0,0,0,0.0,388.720856,0.460592866,837.938965,1,1,1,1,1,7.295116999999999,495.488342,284.1579,154.460388,0.461420149,0.3738952279999999,0.00179240154,0.0158857237999999,1,1,300.2115,3.21981215,295.180725,0.0,0,1,1,Normal
2022-11-10 11:00:07,0.0,807.7432,0,0,0,145.892075,6.83113337,408.9464,0.0,0,1,1,0,0,0,1,0.03201229,0.0005124427,1009.51678,0,0,0,0,0,0,0.0,388.515778,0.459824562,838.285034,1,1,1,1,1,7.295116999999999,495.488342,284.1579,153.72981299999998,0.4593694,0.385423332,0.00179240154,0.0169746652,1,1,300.692139,3.21981215,295.661377,0.0,0,1,1,Normal
2022-11-10 11:00:08,0.0,807.9395,0,0,0,145.892075,6.82696772,408.9464,0.0,0,1,1,0,0,0,1,0.03201229,0.0005124427,1009.51678,0,0,0,0,0,0,0.0,388.515778,0.460592866,837.9005,1,1,1,1,1,7.295116999999999,495.513977,284.1579,153.576,0.4593694,0.3937492,0.00179240154,0.017230887,1,1,301.060638,3.21981215,296.013855,0.0,0,1,1,Normal
2022-11-10 11:00:09,0.0,808.4105,0,0,0,145.892075,6.82696772,408.9464,0.0,0,1,1,0,0,0,1,0.03201229,0.0005124427,1009.51678,0,0,0,0,0,0,0.0,388.515778,0.460592866,837.9005,1,1,1,1,1,7.295116999999999,495.7447,284.1579,153.576,0.4593694,0.388753682,0.00179240154,0.0172949414999999,1,1,301.204834,3.21981215,296.093964,0.0,0,1,1,Normal
